,mean,lower,upper
2026-01-01,410.12347412109375,308.3761901855469,454.2885208129882
2026-02-01,279.533203125,232.36842498779296,293.52246551513673
2026-03-01,283.874267578125,247.09998321533203,344.13017425537106
2026-04-01,187.43560791015625,177.80809020996094,231.3888038635254
2026-05-01,223.32728576660156,188.82015380859374,243.42818298339844
2026-06-01,259.4049377441406,222.82589950561524,307.19655303955074
2026-07-01,388.4227600097656,289.6267578125,432.77913970947264
2026-08-01,273.2251892089844,238.0028839111328,287.47029266357424
2026-09-01,281.32098388671875,254.90522842407228,326.1768600463867
2026-10-01,284.65966796875,260.72168121337893,369.4792343139648
2026-11-01,293.0912780761719,249.9698059082031,301.28077697753906
2026-12-01,268.145263671875,234.6834373474121,286.3954360961914
